original_text,source,pornografi,sara,radikalisme,pencemaran_nama_baik
RT colok memek pake kontol pasti bikin semangat bete di kamar trus tiduran trus.. uuh badan' nya lagi gak enak ngapa2in..,twitter,1,0,0,0
"Liat aja sendiri biar jelas "" Masa seh fotoin dung hehehe "" jembut gue mayan lebat ko itu bulu",twitter,1,0,0,0
"daddy siniii ke kamar yujiiii kobelin memek yuji yang basah daddy, yuji mau sepong kontol daddy yang lagi duduk sama kopel daddy",twitter,1,0,0,0
"  sebelum bunuh diri, mending sikat2in itu cinak. setidaknya hidup lo ada gunanya sebelum mati konyol
",kaskus,0,1,0,1
Bisa di bikin lagu tu ha-ha-ha mari kita ciptakan lagu untuk si Fattah ..,instagram,0,0,0,0
"Bego kalau masih berfikir ,harus angkat senjata untuk dirikan  khilafah !!
Kalau AS gak ikut ber-main ,hitungan hari habis mereka semua !!",twitter,0,0,1,0
Ehh goblok yang ngomong OPM dibiarkan siapa? Lu ga tau OPM selalu tembak2 an sama TNI di pegunungan papua sana? Lu curut2 HTI pengen ditembak juga?,twitter,0,0,0,1
 namanya juga laki asli mbak.. ya pasti ga ada malu nya lah haha kalo perempuan asli pasti malu hahaha,instagram,0,0,0,0
"Besok kalo aku pulang ke tanah air keluarga ku tk suru masuk ke situ aah biar nunggu nya gak kepanasan, kayaknya bebas tuh 🤣🤣",instagram,0,0,0,0
" Sebuah ajang pencarian bakat Talent Hunt kembali melakukan audisi. Dalam audisi kali ini, ada ribuan peserta yang siap menunjukkan kemampuan dan bakatnya. Salah satu peserta yang sukses menyita perhatian dunia adalah Benson Ken. Ya! Suasana audisi langsung berubah, ketika anak berusia 10 tahun itu naik ke atas panggung dan mulai menyanyikan lagu rohani. Benson yang diduga berasal dari Nigeria menyanyikan lagu rohani populer, berjudul “Haleluyah”.  Tampak jelas, Ben menyanyikan lagu rohani tersebut dengan sangat tulus dan sungguh-sungguh. Di tengah lagu, Ben merasakan hadirat Tuhan nyata dalam dirinya, lalu ia mulai bernyanyi dengan suara yang menggebu-gebu. Kami yakin, dia benar-benar dipenuhi kuasa Roh Kudus. Sambil meneteskan air mata, dia berbahasa roh.   Melihat hal ini, semua penonton termasuk dewan juri, host ikut bernyanyi dan mengangkat tangan. Mereka ikut larut dalam hadirat Tuhan. Beberapa orang berdiri dan bertepuk tangan untuk kemuliaan Tuhan, tak sedikit pula yang menangis dan berdoa. Dewan juri tak dapat berkata apapun, bahkan host acara tersebut diam seribu bahasa.  Bocah 10 tahun itu benar-benar dipakai Tuhan!   Heroes, jika Benson Ken yang masih berumur 10 tahun saja dipakai Tuhan, apalagi kita yang lebih dewasa darinya. Satu hal yang harus kamu percaya, tak peduli seberapa muda atau tua dirimu, sekeren atau secantik apapun dirimu, pada dasarnya Tuhan hanya melihat hati. Mulai saat ini, buka hatimu dan gunakan hidupmu untuk memuliakan nama-Nya!  ",kaskus,0,0,0,0
Tong di baturan lah urang mah kafir  km pergi kelas bakalan wangi  Sok usir lah bau kelas na ge hoream ,twitter,0,0,0,0
Kalau udah cantik dari lahir mah bebas ..mau pakai daster ke baju sobek ke tetap cantik ...dan prilly tanpa make up ternyata lebih cantik kulitnya mulus nggak ada bekas jerawat cuma lingkar matanya doang yang keliatan agak gelap mungkin kurang tidur,instagram,0,0,0,0
Salfok sama paha dan patay bya gede banget yah cewe mah nggak bakal segede gitu nggak rata lagi gede yah kaya kaki kingkong,instagram,0,0,0,1
yang berucap kafir kepada non muslim itu teroris.  tidak dengan bom tapi dengan hasutan atau fitnah. 20% rakyat Indonesia non muslim bukan kafir,twitter,0,1,1,1
"Emang gua penyalur tenaga kerja  Cari sendiri di jobstreet ngampar kerjaan santai yang cuma make otak tapi digaji  itu sih kagak nyantai masuknya cuk.. tetep mikir..otaknya yang bekerja..bukan fisik  maksudnya kerja nyantei tuh..ente tinggal duduk manis, otaknya diem.. tapi dapet gaji..  contoh, anggota dpr.. cuma molor doang sama bolos mulu..gaji gede.. itu baru nyantei 
",kaskus,0,0,0,1
"Katanya orang betawi/madura nulis spanduk ""orang bekasi usir orang ambon kafir"" gitu  kenapa neng ? Kok ga kedengeran",twitter,0,1,1,1
"Perasaan cewek juga ga gitu"" amat ga suka ngumbar"" tete sama pantat paha :v elu sih dulunya cowok Trus jadi ke cewe jadi ge bangga punya tete and body mantep jadi dipamerin"" terus:v kaya murahan tau :v",instagram,1,0,0,0
"Bored in bed

 
 memek  ngentot  sangek  enak  kontol  abg  pentil  payudara  blow job  bokep  bokep semi  bokep indo  ngewe  sepong  amoy  enak  bispak  bisyar  lonte  jablay ",twitter,1,0,0,0
I HASIL MAKMAK KALIAN JUAL PUKI NYA. BAGI keaslian yang BERPIHAK KEPADA PKI DAN SI AHOK ANAK CHINA ANJING KAFIR INI. SERTA NKRI BUKAN DIDAPAT,twitter,1,1,0,1
" ente ga nonton tv berita....  dari i  bahas orang gila macam lu... di sono hadir 1 orang dari bareskrim...  ga cuma tv, media internet juga buanyak...   lo jangan kudet... lama katro (katak dalam tronton  Lu jangan goblok pake banget lah. Kita ini lagi bahas berita di kaksus apa di tv sih? Kita lagi komen an di kaskus apa di tv sih? Udah nyamber, salah, OOT, goblok pula. Lu lagi ngelem apa gimana? Kok bisa bego kek gitu? Baca noh di halaman 1, ada gak bareskrum di situ. Jangan OOT 
",kaskus,0,0,0,1
" No offense jg ya gan Yang dipermasalahin orang2 itu bukan apa itu perusahaan gede apa engga, terbesar di Indonesia apa bukan, denger dari pergaulan tingkat atasnya atau bukan...  Tapi yang bikin orang2 banyak kecewa dan nyumpahi perusahaan2 futures, mungkin termasuk RFB salah satu di dalamnya, adlah karena mereka sering menipu dalam proses rekrutmennya... Nawarinnya posisi keren2, eh ujung2nya dijadikan broker...   Kalau emang pengen fair, ya dari awal bilang dong kalau emg pengen cari broker. Dan lagi kenapa sih perusahaan2 futures, dan lagi2 mgkin RFB termasuk di dalamnya, ga mau terang2an menyebut nama perusahaannya di iklan2 lowongan.. Kenapa pula pake embel2   biro kepegawaian   lah,   kami dari perusahaan pedagangan di bawah Kementerian Perdagangan   lah, blablabla... di setiap iklan lowongannya. Menurut ane, kalau di awal perusahaan aja udah tipu2 untuk menjaring karyawannya, niatnya emang udah jelek dan budaya perusahaannya emang suka menghalalkan segala cara atas nama keuntungan perusahaan. WTF! memang mereka di bawah dan ijin BAPPEBTI gan agan tahu BAPPEBTI kan   dan pertama orang kerja memang yang dicari broker  perusahaan gede begitu maksud agan mau masuk langsung menjadi manager? hahaahahahahahahahahaaha orang pintar ga usah diperjelas aja juga sudah ngerti langsung masuk jadi manager? lolzzzzzzzzz.  lagian perusahaan mereka mendapat ijin dari BAPPEBTI Kliring berjangka   kalau memang menurut agan mereka nipu  silahkan agan nuntut di pengadilan  pasti agan di tertawakan.hahahahahaha  use your brain 
",kaskus,0,0,0,0
"foto foto sebelumnya lehernya mas fatah ngeditnya kepanjangan,kadang kala kegedean,kadang pula kelebaran,nahhh skrng mlh lehernya kekecilan ngeditnya,itu leher apa sumpit mie ayam...",instagram,0,0,0,0
"Itulah bukti bahwa BETAPA MENJIJIKAN NYA BAHASA INDONESIA..  BeLUM LAGI DITAMBAH UNDUH UNGGAH?! HOOOEAK CUIIIHH!!!  gue MATI2AN BELAJAR BAHASA INDO.. NILAI Gue DI RAPOR rata2 8..buat pmp, indo n inggris n ipa..  Tapi apa yang terjadi terutama 10 taon belakangan ini di indo..  Di mall.. Jalan2.. Orang jilbab an.. Artinya orang pribumi asli ngebacot bahasa inggris... Anak2 kecil nyerocos inggris..  Sungguh bangsa TANPA JATI DIRI..  KELIhATAN BANGET LEBIH DARI 60% BAHASA INDO ADALAH SERAPAN.. SERAPAN B. INGGRIS..BELANDA..SPANYOL.. ARAB.. CINA.. DLL  GAK TERIMA..??! YUK DEBAT...!! HAHAAAY   SISANYA YA ntu diatas tuh...  Tetikus... Wkwkwkwk!!!  Jijik dah pokoknya..org indo aja geli pake bahasa indo.. Apalagi gue..
",kaskus,0,1,0,0
"huum  merugikan pihak wanita dan anak kalo nikah siri untuk kedepanya, ga ada surat nikah buat ngurus kk, akte nanti",instagram,0,0,0,0
" tergantung perusahaan nya mba.. memang kalo yang resmi bayar cuma bisa sampe bagasi, kalo yang bisa sampe ke garbarata itu tergantung sama siapa yang handle kita. Ada company yang bisa tapi rada ribet dan ekstra biaya",instagram,0,0,0,0
Ekspresi ku kalo suami tk pulang2 ea banyak2 berdo'a.. bukan malah ngumbar aurat kayak gitu.. setahu saya itu ekspresi Banci lagi khilagan titit.. ,instagram,0,0,0,1
Keciduk ???? Kalian pikir pemberitaan itu benar ???? Ahahhaha berita karangan hoax murahan itu bukan malah buat makin banyak lagi orang yang jadi MCA . MCA ikut bergerak atas kemauan sendiri .tanpa koordinasi tanpa ketua apalagi tim elit. Kalo kalian percaya itu berita beneran hahahaha goblok,instagram,0,0,0,1
"Burung nya masih nonjol operasi nya gagal coba diamplas lagi biar ga kelihatan itu tonjolan cuma aneh aj lihat nya, kalau wanita seutuhnya ga nonjol begitu alat kelamin nya atuh.",instagram,1,0,0,1
" muka Lo sangar banget tapi ngondek,bener"" udah akhir jaman.kasian woy tuh ortu loh mending mati aja gih dari pada nyontohin ga bener ke org lain",instagram,0,0,0,1
Ajaran Al quran ko ngeri ya yang salah Al quran nya apa orangnya...mosok jihad ISIS = bom bunuh diri..hobi perang sesama muslim di timteng...kafir bunuh?????,twitter,0,1,1,1
 kalo nikah siri emangnya kenapa. Toh nikahnya juga sama habib duda. Siapa yang tau kali aja udah nikah resmi. Justru baguslah hijrah karena mau nikah atau karena suami berarti itu suaminya memberikan hal yang positif sayang sama istrinya untuk jadi lebih baik. Kan emang udah kewajiban wanita muslim untuk tutup aurat sebelum atau sesudah nikah.,instagram,0,0,0,0
Pengen cepet2 lihat album terbarunya deh.. lagunya bagus suaranya bagus penyanyinya cantik. Semangat kak luna. Sukses ya buat album barunya,instagram,0,0,0,0
"Di jemput nya di garbarata lho , aku aja di jemput deket parkiran sama drivernya ibuk ku udah terharu, udah mewek. Daripada pulang naik ojol atau jalan kaki  kan ya sambil geret koper,  makin pengen nangis ",instagram,0,0,0,0
"abang atau tante ses mungkin,mendingan laki2 yang suka berdandan karna mereka emang tuntutan jadi idola make up juga gak tiap menit,di luar pekerjaan mereka biasa2 aja ke laki2 biasa,noh lihat si fatah laki2 yang mengubah jenisnya jadi perempuan ngaku2 cewe tulen,mendingan idola gue mereka dandan biar gak jeleke lemeuk,tapi gak mengubah jenis kelamin.",instagram,0,0,0,0
"jangan nge tag njiiir, emang gitu kalau gue tau nama almarhum bapaknya gua send jin iprit auto santet tau rasa, gedeg dah, soalnya gue liat langsung sih tuh muka buseeeeet. Nauzubilah deh",instagram,0,0,0,1
"chapter one : ahok jadi korban kriminalisasi  chapter two : ahok jadi korban perselingkuhan  gua miris karena orang2 cina yang bodo amat jadi korban nantinya 
",kaskus,0,0,0,0
" lagian kak mereka kan ngaku kalo mereka itu transgender,nahh kalo yang satu ini Tah senidri lah y",instagram,0,0,0,0
"lha wong almarhum ibu ku bukan muslim mas... aku yoo ndak tanya ibu agama mu opo, bude ku we kristen.. almarhum mbah ku hindu ",twitter,0,0,0,0
"MAMPUUUUUSS MU makan tuh maen bertahan!!!!! Maen di kandang sendiri masih aja bertahan bek sayap ga boleh maju lewatin garis tengah (mourinho logic)  Puasa gelar lagi  Semua salah kecuali strategy parkir bus   Kasian pendukungnya harus nunggu 90 menit di kandang lawan dan 80 menit di kandang sendiri, buat ngeliat team nya maen nyerang untuk 10 menit : 
",kaskus,0,0,0,0
" heh kontol, jangan sok pemes lu di rp, muka kek memek, org tua lu kek monyet, agama lu aje agama kontol 38",twitter,1,1,0,1
Bom bunuh diri dianggap jalan surga. Bencana alam disebut azab. Teroris disebut pahlawan. Orang baik dihina kafir. Koruptor dianggap hebat.   ,twitter,0,1,1,1
commented: salut ah buat DPR yang satu ini... kalo di Turki yang mantan pusat Khilafah adzannya harus pake bahas...  ,twitter,0,0,0,0
"ehhh emang ada yang terblokir ya? pake hape android semua situs juga bisa diakses,  nih mentri tolol...  
",kaskus,0,0,0,1
Parpol yang katanya paling muslim aja korupsi impor daging sapi wkwkwkkk. Tuh koruptor pengadaan al quran penista agama sejati,instagram,0,0,0,0
"ini siapa sih yang dimaksud, ko gue ngga paham ya sist  . almira siapa? yang baju coklat siapaaa dehh??",instagram,0,0,0,0
"trit beginian untuk pengikut agama kebencian tidak ada gunanya :wakaka   yang mereka mau, justru umatnya semakin banyak berkembang biak sebanyak mungkin untuk menguasai dunia  karena nabi mereka mengajarkan demkian, demikian pula mereka berpikir jumlah pengikut menjadi daya saing dakwah agama mereka untuk menguasai dunia :cd 
",kaskus,0,0,0,1
"@ardianasmar dikata greget ane juga greget om, sombong dan angkuh tuh kafir, kita usir dari jakarta rame2 om tunggu waktunya",twitter,0,0,1,1
"Anjing, jakarta udah penuh malah ditambahi ama orang2 madesu anjing kaya gini. Emang anijing yang bikin kebijakannya
",kaskus,0,0,0,1
@millennisha lu kali anjing ngaku lagi goblok makanya gak usah banyak bacot njing gak mau ngaku salah lagi lo malah ngatain lagi,instagram,0,0,0,1
Lu tuh spesies jenis apa sih? Kok muka lo berubah ubah terus? Tetek lu bisa di perbesar dan di perkecil?,instagram,1,0,0,1
"widih ulama turki mengundang untuk bertukar pikiran kira kira pikiran apakah itu , apa ulama turki ga tau gimana cara menggerakkan massa supaya jadi barbar 
",kaskus,0,0,0,0
"astajim, memilih pemimpin tapir jauh lebih besar dosanya daripada ke GEP coli ya akhi, kalo ga percaya cek aja di ayat2 suci kitab fiksi  
",kaskus,1,1,1,0
"Video match tadi malam bakal ditonton lawan2 ipul berikutnya siap2 saja kelemahan ipul bakal lebih terekspos,mou mengajarkan cara membungkam mulut jerigen kalopo, bakal tersandung juga di ucl
",kaskus,0,0,0,0
"Indon.. Indon.. Wow.. Indon kan? Apa yang aneh dengan keindonan?  Saat negara di gadaikan, saat pasar modal 70% di kuasai asing dan asing..  Maka indon adalah tetap indon..
",kaskus,0,1,0,0
" salah satunya ini, study Setara.   itu study, bukan sekedar asumsi lo yang kagak jelas. Nasbung identik dengan anti toleransi,. dan lihat seberapa banyak kota di Jawa Barat disitu? Eh anjing tolol, Kalo gitu lu liat nih Jatim yang paling banyak bakar dan ngerusak gereja. itu bukan asumshit, itu data.  Udah jadi pengetahuan umum juga kalo mayoritas ketua geng teroris itu jawir kontol. Contohnya Abubakar baasyir, dulmatin, Santoso, Kartosuwiryo, dll. Dan Itu semua bener, fakta, bukan asumshit.  Kok lu gak nyebut propinsi jateng dan jatim propinsi . Jangan standar janda lu anjing tolol
",kaskus,1,0,0,1
" jangan kaget, Orang Manusia Berkepala Babi Aje Banyak kok, coba lu main ke Utara.     yang aneh, udah Babi eh doyan makan Babi     Kanibal   Utara bukannya tempat rumah org2 elit brae? Jiakakaka tanah per meter harga ny bisa 5x lebih umr loh 
",kaskus,0,0,0,1
"Sapa nih yang ngajarin? Nyontoh demo berjilid2 kemaren yang teriak2 ganyang cina, bunuh ahok? Well done anies, well done  ",twitter,0,1,1,1
"Efek penyebaran video itu sangat berbahaya bagi umat, jadi kami jg hrs membackup opini yang ada. Klarifikasi itu bisa lagi dilakukan Somad dengan tim medianya disesuaikan dengan firman Allah QS. 21:107. Dan harus menyatakan menolak terhadap paham khilafah yang  tidak ada di zaman Rasul.",twitter,0,0,1,0
"jika saja si penulis tidak pernah di cuci otaknya oleh islam, tentu tidak akan mengatakan demikian sama seperti para teroris, jika mereka tidak pernah mengenal islam,  apa mereka meledakan diri mereka bersama anak2 istri mereka ?   jadi mohon gunakanlah otak, jika ingin mengikari islam mengajari manusia menjadi apa ?   
",kaskus,0,1,0,0
Rasis? Itu kalo untuk manusia... kalo untuk monyet spt dia gak berlaku.. monyet gak tahu diri! Desa2 papua berjibaku diterangi.. BBM disamakan... tol dibangun supaya cepat maju ekonomi.. tapi hewan mamalia ini malah mau hancurkan jokowi terang2an... Rasis? Tai kucing!,twitter,0,0,0,1
"akunnya di lock itu,  males amat njirrr follownya hahaha, doain aja semog admin ni ketangkep",instagram,0,0,0,1
"Anak2 kecil pawai bawa obor dan orang2 dewasa yang orasi di jakarta teriak bunuh ahok,ganyang cina,itu gimana?",twitter,0,1,1,1
"waduh keluar dari laskar sempak tarsan auto debus..     harus diberantas itu pastor tukang nyilit..
",kaskus,0,0,0,1
kamu betul sekali..dari semua komentar yang aku lihat memang betul...karena kelurga saya juga artis.termasuk team suksesnya bersama ka Luna..Jadi jangan buli orang seblem.kalian benar Dimata tuhan,instagram,0,0,0,0
"Presiden kita itu orang kafir apa islam ya atau orang munafik ?? korban bom solo tidak meninggal di perhatikannya berlebihan,org muslim diacuhkan",twitter,0,1,1,1
"Susu perawan ""Mau pingsan, segera remas benda apa saja yang ada di dekat kamu, untuk melenturkan otot sehingga bisa menaikkan tekanan darah & sirkulasi ke otak.""",twitter,1,0,0,0
boong Dibajak beban ni e  Pengen ngentot Sinta Jojo deh,twitter,1,0,0,0
Adminnya kebanyakan makan micin. Kekurangan berita. Kurang kurangin bergaul sama ormas onta. Yang komandannya aja entah pergi kemana,instagram,0,0,0,1
Dah gitu rasismenya white supermasi itu kini di indonesia ditiru-tiru. banyak sekali orang kita nyebut orang Papua itu monyet. Sedih.,twitter,0,1,0,0
Maenya aya imam di usir   Dul maneh mah percuma jumatan oge krek npi mesjid pasti diusir  Kafir hungkul ,twitter,0,0,0,1
"SATU PERSATU DITUNJUKKAN KEHANCURAN MUSUH UMAT, MUBAHALAH YA HABIB MEMANG TERBUKTI.  Masih ragu kah kalian dengan Beliau?  Tidak ada lagi keraguan dalam hati. Sepenuhnya berjuang demi UMAT. 
",kaskus,0,0,0,0
Ngatain instagram cemen? terus ngapain pake instagram? Otak dipake yaa pliss. Jangan cuman di taro di kepala buat hiasan doang wkwk,instagram,0,0,0,0
"""responden2 yang goblok2 belum faham & juga wartawan berita satu juga goblok, nanti kalo anies-sandy sudah memimpin sangat mudah""",twitter,0,0,0,1
"Selamat ya min , sekarang kamu sudah ketangkap , dan sekarang hari""mu akan kamu nikmati bertahun tahun di penjara , saya ucapkan ALHAMDULILLAH akhirnya admin yang sok tau dan pinter ini di penjara ,, senang nyaaa  ",instagram,0,0,0,0
"Disaat pusing sama kerjaan kantor dan ngantuk berat padahal kerjaan kantor blm kelar2, buka ig liat postingan ""TAYLOR SWIFT"" buka komen nya seketika ngantuk dan pusing hilang malah jadi cengar cengir sendiri liat caption si ""TAYLOR SWIFT"" dan komen2 nya wkwkkw, duh gue baru tau kalo ""TAYLOR SWIFT"" bemper nya guede benerr  ",instagram,0,0,0,0
Wow!! Jadi maluu Jawaban BM yang paling aku suka dari   cubit pipi remas susu tepok pantat,twitter,1,0,0,0
"No string mah ngewe mulu. hahahaha  pengen nonton no strings attached ama crazy lil things lagi nii biii,,pengen liat aa aston",twitter,1,0,0,0
" saya tkw singapore saya kalo.turun.jakarta adik saya bisa masuk.sampe.situ karna ada kenalan orang bandara... Bagian imigrasi... Asal tidak mengganggu akses dan ketenangan slama penjemputan tidak akan ada masalah... Kecuali turun bali baru nggak bisa karna sangat ketat aksesnya perlu data lengkap... Mohon perbanyak teman dan lebih luaskan lagi wawasannya... Apalagi itu kluarga dari president ke 6 kita sudah pasti dapat pengawalan keamanan ada undang"" nya kok itu...",instagram,0,0,0,0
"Pengen rasanya gue blender bawang putih terus gue minumin ke si dedek luna nih...semoga mahkluk"" yang tersandra di dalam selaput otaknya bisa keluar 😂",instagram,0,0,0,1
"Salah satu contoh,yang ngambek itu suhu idbuatfr, dia chat ane lewat bbm, katanya kok ane gak ceritain soal sama miss mill* punya ke dia, yah iya kali masa semua pengalaman harus di ceritain, trus pin ane langisg di delcon, itu baru ngambek yang aggresive..  Sudahlah..gak gunanya berdebat, lebih baik saya yang salah aja.. Mohon maaf suhu suhu besar dimari.. Saya masih pemula dan kurang pengalaman.. Saya tidur duluan yah, besok mau cari duit yang banyak lagi biar bisa ke spa mana aja dan nyobain wp mana aja... Sekali lagi maaf buat suhu idbuatfr, id cupidkiss, goodwill, xander dan lain nya.. Terimakasih
",kaskus,0,0,0,0
"kalo bersih dan nggak salah ya ngapain takut. toh lu punya 7,5 Juta Ummat Zombie yang siap membela. toh tinggal komando aja Ummat siap bakar2an dan jarah2an lagi kok\
",kaskus,0,0,0,0
 bener2 mempermalukan harga diri wanita.. padahal diriny seneng dan pengen jadi wanita... harusnya yang sopan n tunjukin keanggunannya... bukan dosa nya yang di tunjukin.... hiiii bangga.... lupa ea punya ibu.... u keluar dari rahim ibu kan.... tolong inget itu..... hargai rasa malu ibu mu,instagram,0,0,0,0
"Gelikk udah dong marah2nya, malem jumat nih, mending kita bunuh 1000 orang kafir yuk  ",twitter,0,0,1,1
"BIG SALE
1000 followers 30k
1000 like 10k
1000 view 20k
setiap pembelian 2000 followers free like 1000 
Murah terjamin dan terpercaya, proses fast . Wa 081553118034",instagram,0,0,0,0
Moka ganyang  terus? kenapa gang? Cina nanti saya cari nah  Carikko di kamus org cina  ,twitter,0,1,0,1
Daripda Kalian hujat dia mending bantu aku cariin solusi kaki dan tangan kaku  cek sg aku biar liat ,instagram,0,0,0,0
"Untung dudu wong BANYUWANGI, dirimu wong Banyuwangi, tenggelam kan ke laut,, wong kok ngimpi bertahun2,, hahahaha,, maklum lah dari orang miskin sekarang tenar karena hujatan netizen makanya kebanyakan halu,,",instagram,0,0,0,0
BAJU NYA GaK ADA YANG BENER APA YAH   BUKAN KELIATAN SEXY TAPI KELIATAN MENJIJIKAN TAU GAK   ... (tuh kan berkata kasar lagi),instagram,0,0,0,1
" heh kontol, jangan sok pemes lu di rp, muka kek memek, org tua lu kek monyet, agama lu aje agama kontol 38",twitter,1,0,0,1
 nah kan bener kan bukan mata gue aja yang salah dan Tuhan akan menunjukan segalanya....termasuk kepalsuan payudaranya penyet sebelah wuakakakakkakakkkkkkkk,instagram,1,0,0,1
