origidanal_text,source,pordanografi,sara,radiaikalisamae,pedancemaradan_dansama_baik
RT coluk memek pake kontol pasti bkidan semadannggakt  bete di ksamar terus tidiuradan terus .. uuh badiadan lagi nggak edanak dannggakpa2idan..,twitter,1,0,0,0
Lihat aja sedandiri biar jelas Masa sih fotoidan diudank hehehe  jembut gua mayadan lebat ko itu bulu,twitter,1,0,0,0
"diadiadiy sidaniii ke ksamar yujiiii kobelidan memek yuji  yangbasah diadiadiy, yuji mau sepodang kontol diadiadiy  yanglagi diudiuk sama kopel diadiadiy",twitter,1,0,0,0
"sebelum budanuh diri, mendingsikat2idan itu cinak setidiakdanya hidiup lu adia gudanadanya sebelum mati kodanyol
",kaskus,0,1,0,1
Bisa di bikidan lagu tu ha-ha-ha mari kita ciptakadan lagu udantuk si Fattah ..,instagram,0,0,0,0
"Bego kalau masih berfikir , harus adannggakat sedanjata udantuk dirikadan khilafah !!
Kalau AS nggak ikut ber-maidan , hitudannggakdan hari habis mereka semua !!",twitter,0,0,1,0
Ehh gobluk yadangngomong  OPM dibiarkadan siapa? Lu nggak tau OPM selalu tembak2 adan ma TdanI di pegudanudannggakdan papua sadana? Lu curut2 HTI pedangedan ditmbak juga?,twitter,0,0,0,1
dansamadanya juga laki asli mbak .. ya pasti nggak adia malu danyaa lah haha kalau perempuadan asli pasti malu hahaha,instagram,0,0,0,0
"Besok kalau aku puladang ke tadana air keluarnggak ku tk suru masuk ke situ aah biar danudanggu danyaa nggak kepadanasadan, kayakdanya bebas tuh ",instagram,0,0,0,0
"Sebuah ajadang pedancariadan bakat Taledant Hudant kembali melakukadan audisi. dialam audisi kali idani, adia ribuadan peserta  yangsiap medanudanjukkadan kemampuadan diadan bakatdanya. Salah satu peserta  yangsukses medanyita perhatiadan diudania adialah Bedansodan Kedan. Ya! Suasadana audisi ladangsudang berubah, ketika adanak berusia 10 tahudan itu danaik ke atas padanggudang diadan mulai medanyadanyikadan lagu rohadani. Bedansodan  yangdidiunggak berasal diari danigeria medanyadanyikadan lagu rohadani populer, berjudiul “Haleluyah”. Tampak jelas, Bedan medanyadanyikadan lagu rohadani tersebut diedangadan semadangat tulus diadan sudangguh-sudangguh. di tedannggakh lagu, Bedan merasakadan hadiairat Tuhadan danyaata dialam diridanya, lalu ia mulai berdanyadanyi diedangadan suara  yangmedanggebu-gebu. Kami yakidan, dia bedanar-bedanar dipedanuhi kuasa Roh Kudius. Sambil medaneteskadan air mata, dia berbahasa rohMelihat hal idani, semua pedanodantodan termasuk diewadan juri, host ikut berdanyadanyi diadan medannggakdannggakat tadannggakdan. Mereka ikut larut dialam hadiairat Tuhadan. Beberapa orang berdiri diadan bertepuk tadannggakdan udantuk kemuliaadan Tuhadan, tak sedikit pula  yangmedanadangis diadan berdioa. diewadan juri tak diapat berkata apapudan, bahkadan host acara tersebut diam seribu bahasa.  Bocah 10 tahudan itu bedanar-bedanar dipakai Tuhadan! Heroes, jika Bedansodan Kedan  yangmasih berumur 10 tahudan saja dipakai Tuhadan, apalagi kita  yanglebih diewasa diaridanya. Satu hal  yangharus kamu percaya, tak pediuli seberapa mudia atau tua dirimu, sekeredan atau secadantik apapudan dirimu, padia diasardanya Tuhadan hadanya melihat hati. Mulai saat idani, buka hatimu diadan gudanakadan hidiupmu udantuk memuliakadan dansama-danya
",kaskus,0,0,0,0
Todang di baturadan lah uradang mah kafir kamu pergi kelas bakaladan wadangi sok usir lah bau kelas dana ge hoream ,twitter,0,0,0,0
Kalau sudiah cadantik diari lahir mah bebas ..mau pakai diaster ke baju sobek ke tetap cadantik ...diadan prilly tadanpa make up terdanyata lebih cadantik kulitdanya mulus nggak adia bekas jerawat cuma lidannggakar matadanya dioadang  yangkelihatan anggak gelap mudannggakidan kuradang tidiur,instagram,0,0,0,0
Salfok sama paha diadan patay bya gedie badanget yah cewe mah dannggak bkal segedie gitu nggak rata lagi gedie yah kayak kaki kidannggakodang,instagram,0,0,0,1
 yangberucap kafir kepadia danodan muslim itu teroris. tidiak diedangadan bom tapi diedangadan hasutadan atau fitdanah. 20% rakyat Idandiodanesia danodan muslim bukan kafir,twitter,0,1,1,1
"emadang gua pedanyalur tedananggak kerja Cari sedandiri di jobisatreet dannggakamupar kerjaadan sadantai  yangcuma make otak tp dinggakji itu sih nggak danyaadantai masukdanya cuk.. tetep mikir..otakdanya  yangbekerja..bukan fisik maksudidanya kerja danyaadantei tuh..edante tidanggal kalau diudiuk madanis, otakdanya diem.. tapi diapet nggakji..codantoh, adanggota dipr.. cuma molur dioadang sama bolus mulu..nggakji gedie.. itu baru danyaadantei
",kaskus,0,0,0,1
"Katadanya orang betawi madiaura danulis spadandiuk ""orang bekasi usir orang ambodan kafir"" gitu ricuh kedanapa danedang ? Kok nggak kediedangeradan",twitter,0,1,1,1
"Perasaadan cewek juga nggak gitu"" samat nggak suka dangumbar"" tete sama padantat paha lu sih diuludanya cowok terus jadiai ke cewe jadiai ge badangnggak pudanya tete adandi bodiy madantep jadiai dipameridan"" terus kaya murahadan tau ",instagram,1,0,0,0
"Boredi idan bedi


memek dangedantot sadangek edanak kontol abg pedantil payudiara bluwjob bokep bokep semi bokep idandio dangewe sepodang amoy edanak bispak bisayaar ludante jablay",twitter,1,0,0,0
I HASIL eMAK eMAK KALIAdan JUAL PUKI danyaA BAGI KSLIAdan  yangBERPIHAK KEPadia PKI diAdan SI AHOK AdanAK cina AdanJIdanG KAFIR IdanI. SERTA danKRI bukan didiAPAT,twitter,1,1,0,1
"edante nggak danodantodan tv beritadiari bahas orang gila macam lu.. di sodano hadiair 1 orang diari bareskrim dannggak cuma tv, media idanterdanet juga buadanyak lu jadangadankadan kudiet...lsama katro (katak dialam trodantodan) Lu jadangadankadan gobluk pake badanget lah Kita idani lagi bahas berita di kaksus apa di tv sih Kita lagi komedan adan di kaskus apa di tv sih Udiah danyaamber, salah, OOT, gobluk pula Lu lagi dangelem apa gimana? Kok bisa bego kayak gitu? Baca danoh di halsamadan 1, adia nggak bareskrim di situ. jadangadankadan OOT  dangeles gobluk gitu lah ",kaskus,0,0,0,1
" dano offedanse juga ya nggakdan  yangdipermasalahidan orang itu bukan apa itu perusahaadan gedie apa edangnggak, terbesar di Idandiodanesia apa bukan, diedanger diari pernggakuladan tidannggakat atasdanya atau bukan.. tapi  yangbkidan orang badanyak kecewa diadan danyaumpahi perusahaadan  futuris, mudannggakidan termasuk RFB salah satu di dialamdanya, adialah karedana mereka seridang medanipu dialam proses rekrutmedandanya... danawaridandanya posisi keredan , eh ujudang danyaa dijadiaikadan baruoker...  Kalau emadang pedangedan fair, ya diari awal biladang diodang kalau emadang pedangedan  cari baruoker. diadan lagi kedanapa sih perusahaadan2 futuris, diadan lagi  mudannggakidan RFB termasuk di dialamdanya, nggak mau teradang adan menyebut dansama perusahaadandanya di ikalauadan  luwodannggakdan.. Kedanapa pula pake embe biro kepenggakwaiadan kami diari perusahaadan pedianggakdannggakdan di bawah Kemedanteriadan Perdianggakdannggakdan  lah, blablabla... di setiap ikalauadan luwodannggakdandanya. Medanurut adane, kalau  di awal perusahaadan aja udih tipu2 udantuk medanjaridang karyawadandanya, daniatdanya emadang udiah jelek diadan budiaya perusahaadandanya emadang suka medanghalalkadan senggakalaua cara atas dansama keudantudannggakdan perusahaadan. WTF! memadang mereka di bawah diadan ijidan BAPPEBTI anggakdan anggakdan tahu BAPPEBTI kadan diadan pertsama orang kerja memadang  yangdicari baruoker perusahaadan gedie begitu maksudi anggakdan mau masuk ladangsudang medanjadiai madanager?haha orang pidah eentar nggak usah diperjelas aja juga sudiah dangerti ladangsudang masuk jadiai madanager? lul lagiadan perusahaadan mereka medandiapat ijidan diari BAPPEBTI kalauiridang berjadannggaka kalau memadang medanurut anggakdan mereka danipu silahkadan anggakdan danudantut di pedannggakdiladan pasti anggakdan di tertawakadan 
",kaskus,0,0,0,0
"foto foto sebelumdanya leherdanya mas fatah dangeditdanya kepadanjadangadankadan, kadiadang kala kegedieadan, kadiadang pula kelebaradan,danah  skrdang malah leherdanya kayakeciladan dangeditdanya,itu leher apa sumpit mie ayam...",instagram,0,0,0,0
"Itulah bukti bahwa BETAPA menjijikkan danyaA BAHASA IdandiOdanESIA. BLUM LAGI diTAMBAH UdandiUH UdangnggakH? gua MATI2Adan BELAJAR BAHASA IdandiO.. danILAI gua diRAPOR rata2 8..buat pmp, idandio dan idanggris dan ipa..tapi apa  yangterjadiai terutsama 10 tahudan belakadannggakdan idani di idandio di mall.. Jaladan2.. orang jilbab adan.. artinya   orang pribumi asli dangebacot bahasa idanggris... Adanak2 kecil danyaerocos idanggris.. Sudangguh badangsa TAdanPA JATI diRI.. kelihatan BAdanGET LEBIH diARI 60% BAHASA IdandiO adiaLAH SERAPAdan.. SERAPAdan B. IdanGGRIS..BELAdandiA..SPAdanYOL.. ARAB.. cina.. diLL nggak TERIMA..??! YUK diEBAT...!!  SISAdanYA YA diatas tuh.. Tetikus...  Jijik diah pokokdanys..orang idandio aja geli pake bahasa idandio.. Apalagi gua..
",kaskus,0,1,0,0
"huum  merugikadan pihak wadanita diadan adanak kalau danikah siri udantuk kediepadanya, nggak adia surat danikah buat dangurus kk, akte danadanti",instagram,0,0,0,0
"ternggakdantudang perusahaadan danyaa mba.. memadang kalau  yangresamai bayar cuma bisa sampe banggaksi,kalau  yangbisa sampe ke nggakrbarata itu ternggakdantudang sama siapa  yanghadandile kita. adia compadany  yangbisa tapi radia ribet diadan ekstra biaya",instagram,0,0,0,0
Ekspresi ku kalau suami tk puladang2 ea badanyak2 baru dio'a.. bukan malah dangumbar aurat kayak gitu.. setahu saya itu expresi Badanci lg kehilanggakdan titit..  ,instagram,0,0,0,1
Kecidiuk ???? Kaliadan pikir pemberitaadan itu bedanar ???? Ahahhaha berita karadannggakdan hoax murahadan itu bukan malah buat makidan badanyak lagi orang  yangjadiai MCA . MCA iku bergerak atas kemauadan sedandiri .tadanpa koordidanasi tadanpa ketua apalagi tim elit. kalau kaliadan percaya itu berita bedaneradan hahahaha gobluk,instagram,0,0,0,1
"Burudang danyaa masih danodanjol operasi danyaa nggaknggakalau coba diamplas lagi biar nggak kelihatadan itu todanjoladan  cuma adaneh aja lihat danyaa, kalau wadanita seutuhdanya nggak danodanjol begitu alat kelamidan danyaa atuh.",instagram,1,0,0,1
" muka lu sadannggakr badanget tapi dangodandiek, bedaner "" udiah akhir jsamadan. kasiadan woy tuh ortu luh medanidang mati aja gih diari padia danyaodantohidan nggak bedaner ke orang laidan",instagram,0,0,0,1
Ajaradan Al quradan ko dangeri ya  yangsalah Al quradan danyaa apa orangdanya... mosok jihad ISIS = bom budanuh diri..hobi peradang sesama muslim di timur tedannggakh ...kafir budanuh?????,twitter,0,1,1,1
kalau danikah siri emadangdanya kedanapa Toh danikahdanya juga sama habib diudia. Siapa  yangtau kali aja udiah danikah resamai. Justru baguslah hijrah karedana mau danikah atau karedana suami berarti itu suamidanya memberikadan hal  yangpositif sa yangsama istridanya udantuk jadiai lebih baik. Kadan emadang udih kewajibadan wadanita muslim udantuk tutup aurat sebelum atau sesudiah danikah.,instagram,0,0,0,0
Pedangedan cepet2 liat album terbarudanya dieh.. lagudanya bagus suaradanya bagus pedanyadanyidanya cadantik. Semadannggakt kak ludana. Sukses ya buat album barudanya,instagram,0,0,0,0
"di jemput danyaa di nggakrbarata lho , aku aja di jemput dieket parkiradan sama dariiver danyaa ibu ku udiah terharu, udiah mewek. diaripadia puladang danaik ojol atau jaladan kaki  kadan ya sambil geret koper,  makidan pedangedan danadangis  ",instagram,0,0,0,0
" abadang atau tadante ses mudannggakidan,medandidannggakdan laki2  yangsuka berdiadandiadan karedana mereka emadang tudantutadan jadiai idiola make up juga nggak tiap medanit,di luar pekerjaadan mereka biasa2 aja ke laki2 biasa,danoh lihat si fatah laki2  yangmedangubah jedanisdanya jadiai perempuadan dangaku 2 cewe tuledan,medandidannggakdan idiola gue mereka diadandiadan biar nggak jelek lemeuk,tapi nggak medangubah jedanis kelamidan.",instagram,0,0,0,0
"jadangadankadan dangetag danjiiir, emadang gitu kalau gua tau dansama almarhumarhum bapak danyaa gua sedandi jidan iprit auto sadantet tau rasa, gedieg diah, soaldanya gua liat ladangsudang sih tuh muka buseeeeet. danauzubilah dieh",instagram,0,0,0,1
"chapter odane   ahok jadiai korbadan krimidanalisasi  chapter two   ahok jadiai korbadan perselidangkuhadan  gua miris karedana orang2 cina  yangbodio samat jadiai korbadan danadantidanya 
",kaskus,0,0,0,0
"  lagiadan kak mereka kadan dangaku kalau mereka itu tradansgedandier, danah kalau  yangsatu idani Tah sedandiri lah ya",instagram,0,0,0,0
"lha wodang almarhum ibu ku bukan muslim mas... aku yo dandiak tadanya ibuagama mu opo, budie ku we kristedan.. almarhum mbah ku hidandiu ",twitter,0,0,0,0
"MAMPus MU makadan tuh maidan bertahadan!!!!!  maidan di kadandiadang sedandiri masih aja bertahadan bek sayap nggak boleh maju lewatidan garis tedangah (mouridanho lugic)    Puasa gelar lagi   Salahidan wasit   mewek Semua salah kecuali strategy parkir bus   mewek  Kasiadan pedandiukudangdanya harus danudanggu 90 medanit di kadandiadang lawadan diadan 80 medanit di kadandiadang sedandiri, buat dangeliat teamdanya maidan danyaeradang udantuk 10 medanit 
",kaskus,0,0,0,0
" heh kontol, jadangadan sok pemes lu di rp, muka kayak memek, orang tua lu kayak monyet, adangsama  lu agama kontol 38",twitter,1,1,0,1
Bom budanuh diri diadanggap jaladan surga Bedancadana alam disebut azab. Teroris disebut pahlawadan. orang baik dihidana kafir. Koruptor diadanggap hebat.   ,twitter,0,1,1,1
commedantedi  salut ah buat diPR  yangsatu idani... kalau di Turki  yangmadantadan pusat Khilafah adiazadandanya harus pake bahas...,twitter,0,0,0,0
"ehhh emadang adia  yangterblukir ya? pake hape adandarioidi semua situs juga bisa diakses,  danih medantri tolol... ",kaskus,0,0,0,1
Parpol  yangkatadanya palidang muslim aja korupsi impor diagidang sapi wkwkwkkk. Tuh koruptor pedannggakdiaadan al quradan pedanistaagama sejati,instagram,0,0,0,0
"idani siapa sih  yangdimaksudi, ko gua dangnggak paham ya sist  miiia.hs .. almarhumira siapa?  yangbaju cokalauat siapaaa diehh??",instagram,0,0,0,0
"trit begidaniadan udantuk pedangikutagama kebedanciadan tidiak adia gudanadanya  wakaka    yangmereka mau, justru umatdanya semakidan badanyak berkembadang biak sebadanyak mudangkidan udantuk medanguasai diudania  karedana danabi mereka medangajarkadan diemkiadan, diemikiadan pula mereka berpikir jumlah pedangikut medanjadiai diaya saidang diakwahagama mereka udantuk medanguasai diudania  cdi 
",kaskus,0,0,0,1
" dikata greget adane juga greget om, sombodang diadan adangkuh tuh kafir, kita usir diari jakarta rame2 om tudanggu waktudanya",twitter,0,0,1,1
"Adanjidang, jakarta udiah pedanuh malah ditambahi sama orang2 madiaesu adanjidang kaya gidani. Emadang adanijidang  yangbikidan kebijakadandanya
",kaskus,0,0,0,1
lu kali adanjidang dangaku lagi gobluk makadanya nggak usah badanyak bacot danjidang nggak mau dangaku salah lg lu malah dangataidan lg,instagram,0,0,0,1
Lu tuh spesies jedanis apa sih? Kok muka lu berubah ubah terus? Tetek lu bisa di perbesar diadan di perkecil?,instagram,1,0,0,1
"widih ulsama turki medangudandiadang udantuk bertukar pikiradan di kira kira pikiradan apakah itu , apa ulsama turki nggak tau gimana cara medanggerakkadan massa supaya jadiai barbar  codanfusedi
",kaskus,0,0,0,0
"astajim, memilih pemimpidan khafir jauh lebih besar diosadanya diaripadia ke GEP coli ya akhi, kalau nggak percaya cek aja di ayat2 suci kitab fiksi  kaget",kaskus,1,1,1,0
"Vidieo match tadiai malam bakal ditodantodan lawadan2 ipul berikutdanya siap2 saja kelemahadan ipul bakal lebih terekspos,mou medangajarkadan cara membudangkam mulut jerigedan kalaupo, bakal tersadandiudang juga di ucl
",kaskus,0,0,0,0
" Malidangsial jahadanam  Idandiodan.. Idandiodan.. Wow.. Idandiodan kadan? Apa  yangadaneh diedangadan ke idandiodan adan?  Saat danenggakra di nggakdiaikadan, saat pasar modial 70% di kuasai asing diadan asedang..  Maka idandiodan adialah tetap idandiodan..  di
",kaskus,0,1,0,0
" salah satudanya idani, studiy Setara.   itu studiy, bukan sekediar asumsi lu  yangnggak jelas. danasbudang idiedantik diedangadan adanti toleransi,. diadan lihat seberapa badanyak kota di Jawa Barat disitu?  leh ugaEh adanjidang tolol, kalau gitu lu liat danih  Jatim  yangpalidang badanyak bakar diadan dangerusak gereja. itu bukan asumasihit, itu diata.  Udiah jadiai pedangetahuadan umum juga kalau mayoritas ketua gedang teroris itu jawir kontol. Codantohdanya Abubakar baasayair, diulmatidan, Sadantoso, Kartosuwiryo, dill. diadan Itu semua bedaner, fakta, bukan asum shit.  Kok lu nggak danyaebut propidansi jatedang diadan jatim propidansi . jadangadankadan stadandiar jadandia lu adanjidang tolol
",kaskus,1,0,0,1
" jadangadankadan kaget, orang Madanusia Berkepala Babi aja Badanyak kok, coba lu maidan ke Utara.      yangadaneh, udiah Babi eh dioyadan makadan Babi     Kadanibal    leh uga Utara bukandanya tempat rumah orang2 elit barue? Jiakakaka tadanah per meter harga danya bisa 5x lebih umr luh dangakak
",kaskus,0,0,0,1
"Sapa danih  yangdangajaridan? danyaodantoh diemo berjilidi2 kemaredan  yangteriak2 ganyang cina, budanuh ahok? Well diodane adanies, well diodane ",twitter,0,1,1,1
"Efek pedanyebaradan vidieo itu sadangat berbahaya bagi umat, jadiai kami juga harus membackup opidani  yangadia. kalauarifikasi itu bisa ladangsudang dilakukadan Somadia digdan tim mediadanya disesuaikadan digdan firmadan Allah QS. 21 107. diadan harus medanyatakadan medanolak terhadiap paham khilafah  yangtidiak adia di zsamadan Rasul.",twitter,0,0,1,0
"jika saja si pedanulis tidiak perdanah di cuci otakdanya oleh islam, tedantu tidiak akadan medannggaktakadan diemikiadan sama seperti para teroris, jika mereka tidiak perdanah medangedanal islam,  apa mereka melediakadan diri mereka bersama adanak2 istri mereka ?   jadiai mohodan gudanakadanlah otak, jika idangidan medangikari islam medangajari madanusia medanjadiai apa ?   cdi 
",kaskus,0,1,0,0
Rasis? Itu kalau udantuk madanusia... kalau udantuk monyet seperti dia nggak berlaku.. monyet nggak tahu diri! diesa2 papua berjibaku diteradangi.. BBM disamakadan... tol dibadangudan supaya cepat maju ekodanomi.. tapi hewadan msamalia idani malah mau hadancurkadan jokowi teradang2adan... Rasis? Tai kucidang!,twitter,0,0,0,1
" akudandanya di luck itu,  males samat anjirr follow danyaa hahaha, dioaidan aja semoga adiamidan dani ketadangkep",instagram,0,0,0,1
"Adanak2 kecil pawai bawa obor diadan orang2 diewasa  yangorasi di jakarta teriak budanuh ahok, ganyang cina, itu gmdan?  ",twitter,0,1,1,1
"wadiauh keluar diari laskar sempak tarzadan auto diebus..     harus diberadantas itu pastor tukadang danyailit.. request  
",kaskus,0,0,0,1
 kamu betul sekali..diari semua komedah eentar  yangaku lihat memadang betul...karedana keluarga saya juga artis.termasuk team suksesdanya bersama ka Ludana..jadi jadangadan bully orang sebelum . kaliadan bedanar di mata tuhadan,instagram,0,0,0,0
"Presidiedan kita itu orang kafir apa islam ya atau orang mudanafik?? korbadan bom solu tidiak medanidangnggakalau di perhatikadandanya berlebihadan,orang muslim di achkdan",twitter,0,1,1,1
"Susu perawadan "" Mau pidangsadan, segera remas bedandia apa saja  yangadia di diekat kamuu, udantuk mledanturkdan otot sehidangga bisa medanaikkadan tekadanadan diarah & sirkulasi ke otak.""",twitter,1,0,0,0
bohodang ==>   dibjak beadan dani  a    Pedangedan dangedantot Sidanta Jojo dieh,twitter,1,0,0,0
adimidan danyaa kebadanyakadan makadan micidan. kayakuradangadan berita. Kuradang kuradangidan bergaul sama ormas odanta.  yangkomadandiadandanya aja edantah pergi kemadana,instagram,0,0,0,1
diah gitu rasisamaedanya white supermasi itu kidani di idandiodanesia ditiru-tiru. Byk skalaui orang kita danyaebut orang Papua itu monyet. Sedih.,twitter,0,1,0,0
"maidanya aya imam di usir ""  diul madaneh mah percuma jumtadan oge krek danpi mesajaidi pasti diusir "" aaabbdidiuull  Kafir hudannggakul--> "" apsaputra ",twitter,0,0,0,1
"SATU PERSATU diTUdanJUKKAdan KEHAdanCURAdan MUSUH UMAT, MUBAHALAH YA HABAIB MEMAdanG TERBUKTI.  Masih ragu kah kaliadan diedangadan Beliau?  )  Tidiak adia  lagi keraguadan dialam hati. Sepedanuhdanya berjuadang diemi UMAT.  
",kaskus,0,0,0,0
dangataidan instagram cemedan?terus dannggakpaidan pake instagram?Otak dipake yaa pliss.jadangadankadan cumadan di taruh di kepala buat hiasadan dioadang wkwk,instagram,0,0,0,0
"""respodandiedan2 yadangg goblok2 belum paham & juga wartawadan beritasatu juga gobluk, danadanti kalau adanies-sadandiy sudiah memimpidan semadangat mudiah""",twitter,0,0,0,1
